day,miles,start,finish,basis,instagram_url,note,caption_excerpt
1,120,"Washington, DC","Williamsport, MD",caption,https://www.instagram.com/p/C85fiyJOSJm/,Saw a black bear on the trail; long day out of DC.,"Day 1 finished. Currently in Williamsport, MD (suburb of Hagerstown near PA and WV). Biked around 120 miles, saw a black bear in the middle of the trail, lost service for a long time, and currently charging my phone at a gas station 👍"
2,,"Williamsport, MD","Cumberland, MD",caption,https://www.instagram.com/p/C873cmKO03o/,Tunnel day on the C&O / GAP transition.,"Day 2 complete. Spending the night in Cumberland, MA. Had a raccoon eat some of my protein bars last night, saw barely any people on the trail, and walked through a pitch black 1mile tunnel under a mountain today 👍."
3,,"Cumberland, MD","South of Pittsburgh (likely Perryopolis area), PA",caption,https://www.instagram.com/p/C8-v3b1uGZm/,Breakfast with New Zealand riders; Ohiopyle lunch; major climbing.,"Day 3 complete. Spending the night in Polypolis, PA around 42 miles south of Pittsburg. Had breakfast with four bikers from New Zealand, biked up 3,000 feet of incline, had lunch in Ohiopyle, and saw too many wind turbines to count 👍"
4,,"South of Pittsburgh, PA","Steubenville, OH",caption,https://www.instagram.com/p/C9BDokyuwhi/,"Tunnels, steep rollers, deer, and Fourth of July riding.","Day 4 complete**. Happy Fourth 🇺🇸. Woke up with aches and a bit of a sore throat but dialed in. Went through many tunnels, went up some steep hills and down others, and saw many deer. In Steubenville, Ohio for the night 👍"
5,91,"Steubenville, OH","Millersburg, OH",caption,https://www.instagram.com/p/C9DhiKHuF3s/,Very hilly; Amish country; light drizzle.,"Day 5 complete. Happy Friday. Pretty glum day today with light drizzles occasionally. Very hilly terrain in central Ohio. Saw lots of farms, a hard hat memorial, many Amish people with a lot of them riding e-bikes around me while dusting me, saw a lady arguing with another with a"
6,125,"Millersburg, OH","Lilly Chapel, OH",caption,https://www.instagram.com/p/C9GheAWuSW2/,"Fast, flatter Ohio trail miles into Columbus outskirts and farm country.","Day 6 Complete. 125 miles today from Millersburg, Ohio to Lilly Chapel, OH. Flat terrain today so got to hammer out a lot of millage. Went from heavy Amish country to Columbus suburbs to Columbus to farm land. Lots of bike trails in Ohio. Parents and dog driving out to Montana an"
7,100,"Lilly Chapel, OH","Richmond, IN",caption,https://www.instagram.com/p/C9JDjJ9ubIq/,Strong day into Indiana; heat and sun.,"Day 7 complete. Said goodbye to parents and Theo the dog in the am then got dropped off and hit the road. 100 solid miles in the heat and sun from Lilly Chapel, OH to Richmond, IA. 725 done so far. Legs were sore and wrist a bit numb, saw lots of cardinals and blue jays, passed i"
8,118,"Richmond, IN","Logansport, IN",caption,https://www.instagram.com/p/C9LlQHtu4DL/,Cardinal Greenway corridor; cornfields and wind.,"Day 8 complete. 118 miles today totaling 843. Richmond, IA to Logansport, IN. Got started just before 8 and finished around 6:30. Not much video because not much changed. Cornfields and bike paths surrounded by foliage along the Cardinal Greenway. Sunny and windy. Met a guy runni"
9,113,"Logansport, IN","Chicago Heights, IL",caption,https://www.instagram.com/p/C9N8fruuyVa/,Raced Hurricane Beryl and storm warnings; broken spoke discovered.,Day 9 complete. 113 miles today racing hurricane Beryl and tornado warnings in Indiana. Woke up to a broken spoke in my back wheel (not sure when it happened). Had to beat the hurricane and tornado path so biked on. Got absolutely drenched but made good time. Biked through mostly
10,0,"Chicago Heights, IL","Chicago Heights, IL",caption,https://www.instagram.com/p/C9Q8Z7KONpJ/,Bike repair and recovery day.,"Day 10, rest and recovery day. Woke up with a bit of rain left from Beryl, tested the bike, and decided it needed some repair. Took it to a bike shop and they were fortunately able to squeeze me in. Replaced the broken spoke in the back but had to go with tubed tires instead of m"
11,113,"Chicago, IL metro","Rock Falls, IL",caption,https://www.instagram.com/p/C9TakhBuvDR/,"Trails early, then country roads, turbines, and corn.","Day 11 complete. 113 miles from Chicago to Rock Falls, IL. Brining us to 1,074 total. Woke up, had a good breakfast and hit the road, trails at the beginning and a bit of rain but then sun and country roads the rest of the day. Didn’t see too many people but saw a lot of wind tur"
12,122,"Rock Falls, IL","Cedar Rapids, IA",caption,https://www.instagram.com/p/C9WGM9xuX9_/,Crossed the Mississippi; first crash in deep gravel; shoulder bruised.,"DAY 12 COMPLETE. 122 miles bringing us to 1,196. Rigorous day. Had brunch in Fulton, Illinois and met a nice old motor biker guy. Then crossed the Mississippi which was cool. Soon after Iowa emerged, replete with hills, lots of bugs attacking me, dogs charging me, sun beaming on "
13,116,"Cedar Rapids, IA","Ames, IA",caption,https://www.instagram.com/p/C9YkzO8u0E0/,Heavy Iowa crosswind.,"Day 13 complete. Another rigorous day. Iowa has not been easy. 116 miles basically in a 37 mph cross wind the whole time. Cedar Rapids to Ames, IA. Stopped for lunch in Marshallstown but otherwise just gritted out miles 8am-7pm. Shoulder was operational this am despite rest of bo"
14,105,"Ames, IA","Denison, IA",caption,https://www.instagram.com/p/C9bKVKUOdn5/,Another broken spoke; major cross/headwind.,"Day 14 complete. 105 miles from Ames to Denison, IA. Brings us to 1,417. Iowa refuses to let up. Broke another spoke on the rear wheel 2 minutes into the day. Had to keep going straight into a 40mph cross wind which later became a 30mph headwind. 96 deg Fahrenheit today as well. "
15,72,"Denison, IA","Norfolk, NE",caption,https://www.instagram.com/p/C9dre82OH6Y/,Mechanical day; rear wheel failure cut the ride short.,"Day 15 complete(ish). Woke up in Denison, Iowa ready to go but my equipment wasn’t. Valve core on my front tire came out of the tubeless set up as I was filling it up so I had to problem shoot and use pliers to screw it back in and fill the tire up. This set me back about an hour"
16,40,"Norfolk, NE","Neligh, NE",caption,https://www.instagram.com/p/C9gQGZCOFIr/,Bike fixed; restarted on the Cowboy Trail.,"Day 16 complete. Back on the road. Norfolk to Neligh, NE. Woke up, went to UPS, and shipped 12.5 pounds home to try and avoid more broken spokes and make myself faster. Then walked my bike 2 miles to the Norfolk bike shop where I dropped off my bike and then went to get breakfast"
17,160,"Neligh, NE","Valentine, NE",caption,https://www.instagram.com/p/C9i7XDwOmC5/,Huge Sandhills day; more broken spokes; route advice helped.,"Day 17 complete. Legs are gone. 160 miles from Neligh to Valentine, NE. Big updates on a subsequent post. Breakage continues. Left Neligh just about at 8am after some milk, yogurt, bread, and peanut butter. Day started off a bit rough with a 21mph headwind in my face and after ab"
18,82,"Valentine, NE","Near Gordon, NE",caption,https://www.instagram.com/p/C9lk2ZWuJRb/,"Sandhills, cows, and a 20 mph headwind.","Day 18 complete. Hot, humid, high wind. 82 miles bringing us to 1,771. Valentine, NE to just shy of Gordon, NE. Got started a bit late and was a bit fatigued from yesterday. The wind got started a bit late too but was not fatigued as it gave me a 20mph headwind for most of the da"
19,60,"Near Gordon, NE","Short of Custer, SD",caption,https://www.instagram.com/p/C9oKCpgOSFq/,Late mechanical start; severe thunder and lightning.,"Day 19 complete. 60 miles from Chadron, NE to short of Custer, SD. Forgot to mention I entered Mountain standard time yesterday. Got a late start as I spent the morning putting on the new rear wheel. Had more difficulties with my pump and the valve core so eventually got started "
20,85,"Custer, SD","Moorcroft, WY",caption,https://www.instagram.com/p/C9qjJ2dux_t/,Black Hills morning; entered a more open Wyoming landscape.,"Day 20 complete. 85 miles from Custer, SD to Moorcroft, WY. Totaling 1,916. Biking close to Black Hills National Forrest in the morning was beautiful. Then once I got into Wyoming the terrain mostly just became a barren, but beautiful, expanse. A bit of rain which was nice and th"
21,127,"Sheridan, WY","Lovell, WY",caption,https://www.instagram.com/p/C9tKmsUur-X/,"10,000 feet of gain/loss over the Bighorns.","Day 21 complete. 127 miles from Sheridan, WY to Lovell, WY. Totaling 2,043. Wild day. Around 10,000 feet of elevation gain and decline on the “Oh My God” pass. The climb was rigorous but the views were amazing. Decline was so beautiful and hit 40+mph speeds. Saw a moose and its b"
22,126,"Red Lodge, MT","Near Bozeman, MT",caption,https://www.instagram.com/p/C9wHVRWOYev/,Very hot and smoky; family pause after this stretch.,"Day 22 complete. Hot and Smokey. Up to 100 F temps and smoke from northwestern Montana fires made today rigorous but kept moving. Around 126 miles from Red Lodge to just near Bozeman, MT. Totaling 2,169. Lots of back country and frontage roads. Heading home for a few days and wil"
23,109,"Near Bozeman, MT","Butte, MT",caption,https://www.instagram.com/p/C9_LmrROL6j/,Smoke worsened; hard headwind into Butte.,"Day 23 complete. Back at it with 109 miles from outside Bozeman, MT to Butte, America. Total 2,278. Heat definitely cooled off as temps were in the low-high 70s F today. Smoke, however, got even worse. Felt like I was in a post-apocalyptic world at some points. Made decent speed "
24,108,"Butte, MT","Outside Missoula, MT",caption,https://www.instagram.com/p/C-BoJklO3VR/,"Cold morning, smoke, and strong afternoon wind.","Day 24 complete. 108 miles from Butte to just outside Missoula. Total 2,386 miles on 23 days of riding. Another rigorous day. Woke up and got going in the am and it was cold, around 48 F in the am. As I got moving it was nice however the smoke is still very bad, hoping to be past"
25,74,"Outside Missoula, MT","Outside Spokane, WA",caption,https://www.instagram.com/p/C-EiUXvJ7Ym/,Trail of the Coeur d'Alenes day after morning rain.,"Day 25 complete. 74 miles from outside Missoula, MT to outside Spokane, WA bringing the total to 2,460. Woke up to some heavy rain which fortunately wiped the smoke out. Went to Adventure Cycle in the am in Missoula and got my photo taken on a wall which has a bunch of other peop"
26,66,"Spokane, WA","Ellensburg area, WA",caption,https://www.instagram.com/p/C-G_6wovwPG/,Trail closures and fire impacts forced route changes.,"Day 26 complete. 66 miles in Washington brining the total to 2,526. I have entered and rode in my 15th and final state today. Rode from Spokane down to Ellensberg. Spokane is shockingly populated by homeless people. Saw one woman who was alone, crying and screaming this morning. "
27,106,"Ellensburg area, WA","Seattle, WA",caption,https://www.instagram.com/coast2coast4charity/,Finished through Snoqualmie Tunnel and into Seattle.,
